Territory,County,Subcounty,Brand,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
CENTRAL,MURANG'A,KANGEMA,POPCO,222.734,0.021044003,0.005082767,44.00430178,0.028681494,1.262109115
CENTRAL,MURANG'A,KIGUMO,POPCO,2704.933833,0.343190566,0.061726309,44.00430178,0.348314776,15.32734853
CENTRAL,MURANG'A,KIHARU,POPCO,1056.656,0.129272641,0.02411278,44.00430178,0.136065768,5.987479098
CENTRAL,MURANG'A,MARAGWA,POPCO,3914.895833,0.500222685,0.089337515,44.00430178,0.504121783,22.18352706
CENTRAL,MURANG'A,MATHIOYA,POPCO,650.36,0.076542454,0.014841148,44.00430178,0.083746965,3.685226702
CENTRAL,NYANDARUA,KINANGOP,POPCO,85.532,0.003237559,0.001951831,44.00430178,0.01101397,0.484662049
CENTRAL,NYANDARUA,KIPIPIRI,POPCO,71.276,0.001387377,0.001626511,44.00430178,0.009178222,0.403881263
CENTRAL,NYANDARUA,NDARAGWA,POPCO,101.574,0.005319533,0.002317908,44.00430178,0.013079701,0.575563099
CENTRAL,NYANDARUA,OL JOROK,POPCO,1170.748,0.144079807,0.026716348,44.00430178,0.150757413,6.633974708
CENTRAL,NYANDARUA,OL KALOU,POPCO,791.174,0.094817673,0.018054508,44.00430178,0.101879607,4.483140954
CENTRAL,NYERI,KIENI,POPCO,3522.734,0.449326869,0.080388423,44.00430178,0.453623039,19.96136509
CENTRAL,NYERI,MATHIRA,POPCO,1416.616,0.175989217,0.03232703,44.00430178,0.182417876,8.027171274
CENTRAL,NYERI,MUKURWENI,POPCO,718.062,0.085329002,0.0163861,44.00430178,0.092464962,4.068856104
